City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hermanus,ZA,59.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
1,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
2,Batu Gajah,MY,80.62,overcast clouds,4.4692,101.0411,Pusing Paradise Homestay
4,Kruisfontein,ZA,63.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
5,Nicoya,CR,72.95,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
6,Plettenberg Bay,ZA,61.56,few clouds,-34.0527,23.3716,Thanda Vista B&B
8,Iquique,CL,66.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
9,Cape Town,ZA,63.09,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
11,East London,ZA,70.05,broken clouds,-33.0153,27.9116,Tu Casa
12,Lufilufi,WS,83.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
14,Bukit Mertajam,MY,82.15,broken clouds,5.363,100.4667,The Summit Hotel Bukit Mertajam
16,Port Elizabeth,ZA,66.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
18,Chachapoyas,PE,55.33,broken clouds,-6.2317,-77.869,Teresita
19,Saldanha,ZA,61.03,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
20,Bluff,NZ,59.81,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
21,New Norfolk,AU,67.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
22,Busselton,AU,65.08,clear sky,-33.65,115.3333,Observatory Guest House
23,Cidreira,BR,68.49,broken clouds,-30.1811,-50.2056,Hotel Castelo
24,Acari,PE,70.27,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
27,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
28,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
31,Isabela,PH,85.8,overcast clouds,6.7085,121.9711,Isawad Resort
32,Port Alfred,ZA,68.74,overcast clouds,-33.5906,26.891,The Halyards Hotel
33,Ushuaia,AR,51.46,broken clouds,-54.8,-68.3,Albatros Hotel
34,Luganville,VU,84.81,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
36,Atuona,PF,79.38,broken clouds,-9.8,-139.0333,Villa Enata
38,Guerrero Negro,MX,63.73,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
39,Bethel,US,65.03,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
41,Geraldton,AU,76.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
42,Itoman,JP,74.17,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
44,Gazojak,TM,45.46,overcast clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
45,Rikitea,PF,76.24,scattered clouds,-23.1203,-134.9692,People ThankYou
46,Batticaloa,LK,81.03,broken clouds,7.7102,81.6924,Grand Star Guest House
47,Sagua La Grande,CU,74.39,clear sky,22.8067,-80.0756,Hotel Telégrafo
48,Singaparna,ID,81.5,few clouds,-7.3515,108.111,Wisma Dewi Hotel
51,Mataura,NZ,59.49,clear sky,-46.1927,168.8643,Ellie's Villa
53,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
54,Castro,BR,68.92,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
55,Manggar,ID,82.69,overcast clouds,-2.8833,108.2667,Guest Hotel
57,Moyamba,SL,75.61,scattered clouds,8.1667,-12.4333,Sarah Jalloh Guest House
58,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Mar Del Plata,AR,66.87,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
60,Bredasdorp,ZA,58.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
61,Hithadhoo,MV,79.61,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Burnie,AU,65.91,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
63,Punta Arenas,CL,51.91,clear sky,-53.15,-70.9167,Hotel Hain
64,Auki,SB,78.55,overcast clouds,-8.7676,160.7034,Auki Motel
67,Chuy,UY,61.5,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
