City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,59.9,73,100,1.88,overcast clouds
1,Carnarvon,AU,-24.8667,113.6333,75.27,50,0,26.46,clear sky
2,Batu Gajah,MY,4.4692,101.0411,80.62,76,91,3.13,overcast clouds
3,Iqaluit,CA,63.7506,-68.5145,-7.31,63,47,3.0,scattered clouds
4,Kruisfontein,ZA,-34.0033,24.7314,63.88,73,66,1.39,broken clouds
5,Nicoya,CR,10.1483,-85.452,72.95,83,59,1.57,broken clouds
6,Plettenberg Bay,ZA,-34.0527,23.3716,61.56,81,23,2.19,few clouds
7,Leh,IN,34.1667,77.5833,2.73,48,81,2.95,broken clouds
8,Iquique,CL,-20.2208,-70.1431,66.24,76,1,4.76,clear sky
9,Cape Town,ZA,-33.9258,18.4232,63.09,83,99,5.23,overcast clouds
10,Albany,US,42.6001,-73.9662,64.47,85,100,1.01,moderate rain
11,East London,ZA,-33.0153,27.9116,70.05,81,71,3.04,broken clouds
12,Lufilufi,WS,-13.8745,-171.5986,83.79,74,3,8.46,light rain
13,Beloha,MG,-25.1667,45.05,75.27,67,0,5.73,clear sky
14,Bukit Mertajam,MY,5.363,100.4667,82.15,75,51,3.83,broken clouds
15,Aktash,RU,50.3,87.7333,-4.0,69,99,5.44,overcast clouds
16,Port Elizabeth,ZA,-33.918,25.5701,66.09,80,74,3.6,broken clouds
17,Soldotna,US,60.4878,-151.0583,10.38,75,1,4.61,mist
18,Chachapoyas,PE,-6.2317,-77.869,55.33,98,84,3.13,broken clouds
19,Saldanha,ZA,-33.0117,17.9442,61.03,84,100,3.71,overcast clouds
20,Bluff,NZ,-46.6,168.3333,59.81,59,3,16.46,clear sky
21,New Norfolk,AU,-42.7826,147.0587,67.66,32,1,5.86,clear sky
22,Busselton,AU,-33.65,115.3333,65.08,42,6,11.07,clear sky
23,Cidreira,BR,-30.1811,-50.2056,68.49,80,83,8.39,broken clouds
24,Acari,PE,-15.4311,-74.6158,70.27,86,54,2.68,broken clouds
25,Dikson,RU,73.5069,80.5464,-14.19,83,100,7.65,overcast clouds
26,Qaanaaq,GL,77.484,-69.3632,-2.81,66,0,7.58,clear sky
27,Avarua,CK,-21.2078,-159.775,80.65,78,20,14.97,few clouds
28,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,20,11.5,few clouds
29,Thompson,CA,55.7435,-97.8558,-15.34,100,40,0.38,scattered clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,-6.84,94,100,9.17,overcast clouds
31,Isabela,PH,6.7085,121.9711,85.8,70,100,6.33,overcast clouds
32,Port Alfred,ZA,-33.5906,26.891,68.74,88,97,6.42,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,51.46,76,75,8.05,broken clouds
34,Luganville,VU,-15.5333,167.1667,84.81,75,100,11.86,overcast clouds
35,Sagua De Tanamo,CU,20.5819,-75.2414,73.44,91,17,4.07,few clouds
36,Atuona,PF,-9.8,-139.0333,79.38,72,79,14.72,broken clouds
37,Baherden,TM,38.4362,57.4316,46.71,79,0,0.54,clear sky
38,Guerrero Negro,MX,27.9769,-114.0611,63.73,60,0,10.74,clear sky
39,Bethel,US,41.3712,-73.414,65.03,89,90,5.01,light rain
40,Kungurtug,RU,50.5994,97.5228,-2.07,90,86,1.83,overcast clouds
41,Geraldton,AU,-28.7667,114.6,76.12,40,40,17.27,scattered clouds
42,Itoman,JP,26.1247,127.6694,74.17,55,20,4.61,few clouds
43,Tasiilaq,GL,65.6145,-37.6368,33.96,67,100,27.65,overcast clouds
44,Gazojak,TM,41.1875,61.4036,45.46,73,100,8.93,overcast clouds
45,Rikitea,PF,-23.1203,-134.9692,76.24,76,39,15.12,scattered clouds
46,Batticaloa,LK,7.7102,81.6924,81.03,79,57,8.37,broken clouds
47,Sagua La Grande,CU,22.8067,-80.0756,74.39,89,0,7.63,clear sky
48,Singaparna,ID,-7.3515,108.111,81.5,70,23,3.71,few clouds
49,Yellowknife,CA,62.456,-114.3525,8.42,98,100,3.0,light snow
50,Clyde River,CA,70.4692,-68.5914,-17.32,96,24,3.67,few clouds
51,Mataura,NZ,-46.1927,168.8643,59.49,28,1,3.33,clear sky
52,Port Augusta,AU,-32.5,137.7667,92.71,11,0,14.03,clear sky
53,Vaini,TO,-21.2,-175.2,86.16,79,20,8.05,few clouds
54,Castro,BR,-24.7911,-50.0119,68.92,50,100,2.39,overcast clouds
55,Manggar,ID,-2.8833,108.2667,82.69,74,100,10.16,overcast clouds
56,Fort Nelson,CA,58.8053,-122.7002,-8.39,99,91,4.36,overcast clouds
57,Moyamba,SL,8.1667,-12.4333,75.61,89,47,0.78,scattered clouds
58,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,77,5.01,broken clouds
59,Mar Del Plata,AR,-38.0023,-57.5575,66.87,90,89,25.99,overcast clouds
60,Bredasdorp,ZA,-34.5322,20.0403,58.28,74,100,3.47,overcast clouds
61,Hithadhoo,MV,-0.6,73.0833,79.61,80,100,5.03,overcast clouds
62,Burnie,AU,-41.0667,145.9167,65.91,48,3,12.01,clear sky
63,Punta Arenas,CL,-53.15,-70.9167,51.91,76,0,4.61,clear sky
64,Auki,SB,-8.7676,160.7034,78.55,90,100,5.99,overcast clouds
65,Markova,UA,48.6758,24.4138,32.27,99,100,3.09,snow
66,Provideniya,RU,64.3833,-173.3,-8.66,79,0,7.92,clear sky
67,Chuy,UY,-33.6971,-53.4616,61.5,84,0,6.91,clear sky
68,Vaijapur,IN,19.9167,74.7333,65.44,62,34,5.14,scattered clouds
69,Mizdah,LY,31.4451,12.9801,49.5,65,95,12.73,overcast clouds
70,Tura,IN,25.5198,90.2201,61.21,56,0,3.42,clear sky
71,Kuandian,CN,40.7286,124.7847,21.72,37,2,12.3,clear sky
72,Turukhansk,RU,65.8167,87.9833,-16.15,92,65,6.06,broken clouds
73,Panaba,MX,21.2833,-88.2667,73.47,86,26,9.78,scattered clouds
74,Shimsk,RU,58.212,30.7127,25.38,91,100,8.05,overcast clouds
75,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.38,89,54,17.11,broken clouds
76,Kapaa,US,22.0752,-159.319,80.58,72,20,1.99,light rain
77,Polovinnoye,RU,54.7914,65.9864,1.04,97,6,5.48,clear sky
78,Hilton Head Island,US,32.2163,-80.7526,68.11,89,1,17.27,clear sky
79,Waipawa,NZ,-41.4122,175.5153,56.3,76,100,6.85,overcast clouds
80,Ponta Do Sol,PT,32.6667,-17.1,65.01,78,59,3.62,broken clouds
81,Oussouye,SN,12.485,-16.5469,74.17,83,98,4.79,overcast clouds
82,Coquimbo,CL,-29.9533,-71.3436,60.53,82,0,6.91,clear sky
83,Georgetown,MY,5.4112,100.3354,82.33,74,20,1.01,few clouds
84,Maues,BR,-3.3836,-57.7186,74.44,97,100,2.04,overcast clouds
85,Hilo,US,19.7297,-155.09,76.73,40,90,6.91,light rain
86,Chokurdakh,RU,70.6333,147.9167,-47.22,99,88,2.48,overcast clouds
87,Mezen,RU,65.8522,44.24,10.94,89,100,7.47,overcast clouds
88,Pevek,RU,69.7008,170.3133,-34.92,98,40,5.35,scattered clouds
89,Vardo,NO,70.3705,31.1107,27.61,84,95,16.22,overcast clouds
90,Kavaratti,IN,10.5669,72.642,80.87,74,16,7.31,few clouds
91,Pitimbu,BR,-7.4706,-34.8086,79.7,72,3,13.11,clear sky
92,Guilin,CN,25.2819,110.2864,54.75,71,100,12.3,overcast clouds
93,Souillac,MU,-20.5167,57.5167,79.36,83,20,11.5,few clouds
94,Arua,UG,3.0201,30.9111,65.53,48,99,3.29,overcast clouds
95,Jacareacanga,BR,-6.2222,-57.7528,73.89,98,100,2.93,heavy intensity rain
96,Khatanga,RU,71.9667,102.5,-45.11,100,51,3.67,broken clouds
97,Mahebourg,MU,-20.4081,57.7,79.25,83,20,11.5,few clouds
98,Faanui,PF,-16.4833,-151.75,81.01,71,98,7.09,light rain
